issue_number,url,state,title,existing_classification,proposed_labels,has_controls,observed_dimensions_exact_match,context_shortened,inference_seconds
65,https://github.com/microsoft/apm/issues/65,closed,[FEATURE] Opencode support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/docs-site;area/enterprise;area/lockfile;area/mcp-config;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/security;type/automation;type/bug;type/docs;type/performance;type/release,True,False,False,5.236372424000024
66,https://github.com/microsoft/apm/issues/66,closed,[BUG] Fix YAML formatting issue in apm.yml,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.274584611000023
71,https://github.com/microsoft/apm/issues/71,closed,Support OpenCode.ai skills directory during install,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.22661539300009
72,https://github.com/microsoft/apm/issues/72,closed,Generic git URL support and optional output override,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,28.411019554000006
73,https://github.com/microsoft/apm/issues/73,closed,Prevent creation of root `skill.md` and preserve original file integrity,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,12.74881346299999
74,https://github.com/microsoft/apm/issues/74,closed,[FEATURE]  APM.yml as a collection,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,15.960471767000001
88,https://github.com/microsoft/apm/issues/88,closed,[FEATURE] Windows Native Support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/security;type/automation;type/bug;type/docs;type/feature;type/performance;type/release,True,False,False,17.89985074399999
89,https://github.com/microsoft/apm/issues/89,closed,[BUG] apm install fails for Azure DevOps projects with spaces in the project name,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,13.037764943000013
90,https://github.com/microsoft/apm/issues/90,closed,[BUG]  apm install fails with [WinError 5] Access is denied on Windows when processing .git objects,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,11.640273824000019
93,https://github.com/microsoft/apm/issues/93,closed,[FEATURE] Support for github agentic workflows,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,29.582345203999978
94,https://github.com/microsoft/apm/issues/94,closed,[FEATURE] Compile should deploy agents and skills to .claude/ for Claude Code target,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.422809810000103
96,https://github.com/microsoft/apm/issues/96,closed,[FEATURE] Support Hooks as an Agent Primitive,type/feature,area/cli;area/content-security;area/distribution;area/lockfile;area/marketplace;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/security;type/bug;type/docs;type/performance;type/refactor;type/release,True,False,False,22.74904973599999
99,https://github.com/microsoft/apm/issues/99,closed,[BUG] Subpath install marks dependency as orphaned and skips instruction processing in compile,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,12.625516903000005
101,https://github.com/microsoft/apm/issues/101,closed,[FEATURE] Promote sub-skills inside packages to top-level `.github/skills/` entries,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,16.030232571
110,https://github.com/microsoft/apm/issues/110,closed,[BUG] transitive packages,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.235342099999997
112,https://github.com/microsoft/apm/issues/112,closed,[FEATURE] apm install should deploy .instructions.md files into .github/instructions/,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,12.421602800999977
113,https://github.com/microsoft/apm/issues/113,closed,[BUG] Forcing a url of ghe deny access to other github servers,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,12.962418858000035
114,https://github.com/microsoft/apm/issues/114,closed,[FEATURE] Install should materialize transitive package artifacts by default,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.125512082
117,https://github.com/microsoft/apm/issues/117,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,29.242106767999985
120,https://github.com/microsoft/apm/issues/120,closed,[agentics] CLI Consistency Checker failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;type/architecture;type/automation;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,28.48243623800002
121,https://github.com/microsoft/apm/issues/121,closed,[BUG] MCP dependencies from transitive packages are not propagated to the consumer project,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,12.58293197499998
122,https://github.com/microsoft/apm/issues/122,closed,[FEATURE] Support stdio MCP servers in inline dependency declarations,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,15.974949339999995
124,https://github.com/microsoft/apm/issues/124,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,29.24553922199999
125,https://github.com/microsoft/apm/issues/125,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,12.457111368
126,https://github.com/microsoft/apm/issues/126,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,12.844024829000034
127,https://github.com/microsoft/apm/issues/127,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,28.870935051000004
128,https://github.com/microsoft/apm/issues/128,closed,[agentics] CLI Consistency Checker failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,29.38158298799999
131,https://github.com/microsoft/apm/issues/131,closed,[Discussion] Design inline MCP dependency format vs MCP Registry alignment,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,28.423111588000012
132,https://github.com/microsoft/apm/issues/132,closed,[FEATURE] MCP dependency config overlays in apm.yml,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,12.56763994100001
133,https://github.com/microsoft/apm/issues/133,closed,[FEATURE] GitLab support (SaaS + self-hosted),type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,15.949416222999986
134,https://github.com/microsoft/apm/issues/134,closed,[FEATURE] Bitbucket Cloud support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,30.80010497899997
135,https://github.com/microsoft/apm/issues/135,closed,[BUG] Skill directory names missing -apm suffix unlike agents and prompts,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,12.095263621000015
136,https://github.com/microsoft/apm/issues/136,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor,False,,True,12.706494303999989
137,https://github.com/microsoft/apm/issues/137,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,28.77828344400001
138,https://github.com/microsoft/apm/issues/138,closed,[Test Improver] Monthly Activity 2026-03,area/testing;type/automation,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,29.35371035000003
140,https://github.com/microsoft/apm/issues/140,closed,[cli-consistency] CLI Consistency Report — 2026-03-03,area/cli;type/automation;type/bug;type/docs,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,28.35388480100005
