issue_number,url,state,title,existing_classification,proposed_labels,has_controls,observed_dimensions_exact_match,context_shortened,inference_seconds
27,https://github.com/microsoft/apm/issues/27,closed,[Clarity]  Intended Purpose and Compilation Behavior of Context Files (.context.md),,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/portability;theme/security;type/architecture;type/bug;type/docs;type/performance;type/release,False,,True,4.890105124999536
28,https://github.com/microsoft/apm/issues/28,closed,[BUG] Documented `apm compile --format vscode` and `apm export vscode` Commands Not Found,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.9019323749998875
35,https://github.com/microsoft/apm/issues/35,closed,[FEATURE] Add master to supported branch,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.962696874998073
37,https://github.com/microsoft/apm/issues/37,closed,[FEATURE]  EPIC: Big functionality,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/release,True,False,False,3.667705334002676
38,https://github.com/microsoft/apm/issues/38,closed,Feature 1: UI,,area/package-authoring;theme/portability,False,,False,1.989900459000637
39,https://github.com/microsoft/apm/issues/39,closed,[FEATURE] Azure DevOps,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,2.691215333998116
41,https://github.com/microsoft/apm/issues/41,closed,[BUG] Version mismatch,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.222320542001398
42,https://github.com/microsoft/apm/issues/42,closed,[BUG] Collection with azure devops,type/bug,area/ci-cd;area/cli;area/distribution;area/enterprise;area/marketplace;area/mcp-config;area/multi-target;area/package-authoring;theme/portability;type/architecture;type/bug,True,False,True,5.060261291000643
44,https://github.com/microsoft/apm/issues/44,closed,[BUG] No agents.md with apm compile,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,True,False,True,5.180236958000023
51,https://github.com/microsoft/apm/issues/51,closed,[FEATURE] Configurable Directory Exclusion for `apm compile`,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.230884790998971
54,https://github.com/microsoft/apm/issues/54,closed,[FEATURE] Prompt users to update to new version and run update automatically,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,4.209769583998423
56,https://github.com/microsoft/apm/issues/56,closed,[BUG] Failure to setup the runtime,type/bug,area/audit-policy;area/ci-cd;area/cli;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,True,False,False,5.422509665997495
57,https://github.com/microsoft/apm/issues/57,closed,Install script should warn of no Windows support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,2.8881113750030636
60,https://github.com/microsoft/apm/issues/60,closed,Scaffold individual primitives as reusable packages with `apm init --type`,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.50650029100143
61,https://github.com/microsoft/apm/issues/61,closed,Transitive dependencies are not being installed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,5.146666667002137
62,https://github.com/microsoft/apm/issues/62,closed,Bug: `apm deps update` doesn't integrate primitives to .github/ directories,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,5.5103709579998394
63,https://github.com/microsoft/apm/issues/63,closed,[BUG] GITHUB_HOST not respected,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/refactor;type/release,True,False,False,4.8096459590015
65,https://github.com/microsoft/apm/issues/65,closed,[FEATURE] Opencode support,type/feature,area/ci-cd;area/content-security;area/package-authoring;type/feature,True,True,False,2.5279986669993377
66,https://github.com/microsoft/apm/issues/66,closed,[BUG] Fix YAML formatting issue in apm.yml,type/bug,area/audit-policy;area/ci-cd;area/enterprise;area/marketplace;area/mcp-config;area/package-authoring;theme/portability;type/architecture;type/bug;type/docs;type/refactor,True,False,True,5.762270375002117
71,https://github.com/microsoft/apm/issues/71,closed,Support OpenCode.ai skills directory during install,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.624818333002622
72,https://github.com/microsoft/apm/issues/72,closed,Generic git URL support and optional output override,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.499041749997559
73,https://github.com/microsoft/apm/issues/73,closed,Prevent creation of root `skill.md` and preserve original file integrity,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.115068333998352
74,https://github.com/microsoft/apm/issues/74,closed,[FEATURE]  APM.yml as a collection,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.498440291998122
88,https://github.com/microsoft/apm/issues/88,closed,[FEATURE] Windows Native Support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,3.345205290999729
89,https://github.com/microsoft/apm/issues/89,closed,[BUG] apm install fails for Azure DevOps projects with spaces in the project name,type/bug,area/ci-cd;area/cli;area/content-security;area/distribution;area/enterprise;area/marketplace;area/mcp-config;area/mcp-trust;area/package-authoring;theme/portability;theme/security;type/architecture;type/automation;type/bug,True,False,True,5.755515834000107
90,https://github.com/microsoft/apm/issues/90,closed,[BUG]  apm install fails with [WinError 5] Access is denied on Windows when processing .git objects,type/bug,area/ci-cd;area/cli;area/content-security;area/distribution;area/enterprise;area/marketplace;area/mcp-config;area/mcp-trust;area/package-authoring;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/release,True,False,False,5.439735583000584
93,https://github.com/microsoft/apm/issues/93,closed,[FEATURE] Support for github agentic workflows,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,5.296954582998296
94,https://github.com/microsoft/apm/issues/94,closed,[FEATURE] Compile should deploy agents and skills to .claude/ for Claude Code target,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.589937790999102
96,https://github.com/microsoft/apm/issues/96,closed,[FEATURE] Support Hooks as an Agent Primitive,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,4.774112833001709
99,https://github.com/microsoft/apm/issues/99,closed,[BUG] Subpath install marks dependency as orphaned and skips instruction processing in compile,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.78224766600033
101,https://github.com/microsoft/apm/issues/101,closed,[FEATURE] Promote sub-skills inside packages to top-level `.github/skills/` entries,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.206195624999964
110,https://github.com/microsoft/apm/issues/110,closed,[BUG] transitive packages,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.96683262499937
112,https://github.com/microsoft/apm/issues/112,closed,[FEATURE] apm install should deploy .instructions.md files into .github/instructions/,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.695180499998969
113,https://github.com/microsoft/apm/issues/113,closed,[BUG] Forcing a url of ghe deny access to other github servers,type/bug,area/ci-cd;area/cli;area/content-security;area/enterprise;area/marketplace;area/mcp-config;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/release,True,False,True,6.119969374998618
114,https://github.com/microsoft/apm/issues/114,closed,[FEATURE] Install should materialize transitive package artifacts by default,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,6.670547375000751
117,https://github.com/microsoft/apm/issues/117,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,7.033831832999567
120,https://github.com/microsoft/apm/issues/120,closed,[agentics] CLI Consistency Checker failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.846747583000251
121,https://github.com/microsoft/apm/issues/121,closed,[BUG] MCP dependencies from transitive packages are not propagated to the consumer project,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.925743833002343
122,https://github.com/microsoft/apm/issues/122,closed,[FEATURE] Support stdio MCP servers in inline dependency declarations,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.380627208000078
124,https://github.com/microsoft/apm/issues/124,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.319134249999479
125,https://github.com/microsoft/apm/issues/125,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.125759167000069
126,https://github.com/microsoft/apm/issues/126,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.264492958001938
127,https://github.com/microsoft/apm/issues/127,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,False,,True,6.357911999999487
128,https://github.com/microsoft/apm/issues/128,closed,[agentics] CLI Consistency Checker failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,5.95541404100004
131,https://github.com/microsoft/apm/issues/131,closed,[Discussion] Design inline MCP dependency format vs MCP Registry alignment,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.737145082999632
132,https://github.com/microsoft/apm/issues/132,closed,[FEATURE] MCP dependency config overlays in apm.yml,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,5.858315084002243
133,https://github.com/microsoft/apm/issues/133,closed,[FEATURE] GitLab support (SaaS + self-hosted),type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,6.794622749999689
134,https://github.com/microsoft/apm/issues/134,closed,[FEATURE] Bitbucket Cloud support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,6.581630499997118
135,https://github.com/microsoft/apm/issues/135,closed,[BUG] Skill directory names missing -apm suffix unlike agents and prompts,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/refactor;type/release,False,,True,7.02890883299915
136,https://github.com/microsoft/apm/issues/136,closed,[agentics] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.9870517499985
137,https://github.com/microsoft/apm/issues/137,closed,[agentics] Daily Documentation Updater failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,7.008951166997576
138,https://github.com/microsoft/apm/issues/138,closed,[Test Improver] Monthly Activity 2026-03,area/testing;type/automation,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,7.278993667001487
140,https://github.com/microsoft/apm/issues/140,closed,[cli-consistency] CLI Consistency Report — 2026-03-03,area/cli;type/automation;type/bug;type/docs,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,6.643354833999183
142,https://github.com/microsoft/apm/issues/142,closed,[aw] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,False,,True,6.482673624999734
143,https://github.com/microsoft/apm/issues/143,closed,[aw] Daily Test Improver failed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,6.1606806670024525
146,https://github.com/microsoft/apm/issues/146,closed,[Test Improver] Monthly Activity 2026-03,area/testing;type/automation,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,6.191051792000508
